Entity,Code,Year,Global plastics production (million tonnes) (tonnes),
World,OWID_WRL,1950,2000000,
World,OWID_WRL,1951,2000000,
World,OWID_WRL,1952,2000000,
World,OWID_WRL,1953,3000000,
World,OWID_WRL,1954,3000000,
World,OWID_WRL,1955,4000000,
World,OWID_WRL,1956,5000000,
World,OWID_WRL,1957,5000000,
World,OWID_WRL,1958,6000000,
World,OWID_WRL,1959,7000000,
World,OWID_WRL,1960,8000000,
World,OWID_WRL,1961,9000000,9.87996E+12
World,OWID_WRL,1962,11000000,10600206600653.90 
World,OWID_WRL,1963,13000000,11424437984413.30 
World,OWID_WRL,1964,15000000,12549457365960.70 
World,OWID_WRL,1965,17000000,13835495141393.70 
World,OWID_WRL,1966,20000000,15685308984921.70 
World,OWID_WRL,1967,23000000,16625111442711.60 
World,OWID_WRL,1968,27000000,17914768171119.20 
World,OWID_WRL,1969,32000000,19811152613334.20 
World,OWID_WRL,1970,35000000,21961281469446.40 
World,OWID_WRL,1971,38000000,24236009317523.20 
World,OWID_WRL,1972,44000000,27931509782906.10 
World,OWID_WRL,1973,51000000,34391123979426.00 
World,OWID_WRL,1974,52000000,40118052227632.50 
World,OWID_WRL,1975,46000000,44790619175324.10 
World,OWID_WRL,1976,54000000,48450692672995.80 
World,OWID_WRL,1977,59000000,54725948874585.90 
World,OWID_WRL,1978,64000000,63982607787227.90 
World,OWID_WRL,1979,71000000,74871230171828.60 
World,OWID_WRL,1980,70000000,85037401903484.80 
World,OWID_WRL,1981,72000000,88165377003570.20 
World,OWID_WRL,1982,73000000,86954567166073.30 
World,OWID_WRL,1983,80000000,87456196681290.10 
World,OWID_WRL,1984,86000000,89857989867126.20 
World,OWID_WRL,1985,90000000,94313906902312.40 
World,OWID_WRL,1986,96000000,110522798265332.00 
World,OWID_WRL,1987,104000000,125208274392148.00 
World,OWID_WRL,1988,110000000,142078161932656.00 
World,OWID_WRL,1989,114000000,147820061695079.00 
World,OWID_WRL,1990,120000000,168039869437978.00 
World,OWID_WRL,1991,124000000,177449439405912.00 
World,OWID_WRL,1992,132000000,187287213804574.00 
World,OWID_WRL,1993,137000000,190332741725345.00 
World,OWID_WRL,1994,151000000,204079476799681.00 
World,OWID_WRL,1995,156000000,228155124141249.00 
World,OWID_WRL,1996,168000000,234997423471473.00 
World,OWID_WRL,1997,180000000,234793920498094.00 
World,OWID_WRL,1998,188000000,234415429254098.00 
World,OWID_WRL,1999,202000000,240598169901658.00 
World,OWID_WRL,2000,213000000,248392765128758.00 
World,OWID_WRL,2001,218000000,247901799170767.00 
World,OWID_WRL,2002,231000000,257697704524073.00 
World,OWID_WRL,2003,241000000,291055463000444.00 
World,OWID_WRL,2004,256000000,330752619489071.00 
World,OWID_WRL,2005,263000000,362242018062589.00 
World,OWID_WRL,2006,280000000,397894539902896.00 
World,OWID_WRL,2007,295000000,456040133700662.00 
World,OWID_WRL,2008,281000000,508538596083860.00 
World,OWID_WRL,2009,288000000,482352683202481.00 
World,OWID_WRL,2010,313000000,535091506273260.00 
World,OWID_WRL,2011,325000000,601020156222509.00 
World,OWID_WRL,2012,338000000,617673316508845.00 
World,OWID_WRL,2013,352000000,640234759634487.00 
World,OWID_WRL,2014,367000000,658838627032813.00 
World,OWID_WRL,2015,381000000,619953727963243.00 
,,,,627120096985943.00 
,,,,670775315127379.00 
,,,,708405206109211.00 
,,,,
