Entity,Code,Year,Share of plastic inadequately managed (%)
Albania,ALB,2010,45
Algeria,DZA,2010,58
Angola,AGO,2010,71
Anguilla,AIA,2010,2
Antigua and Barbuda,ATG,2010,6
Argentina,ARG,2010,12
Aruba,ABW,2010,1
Australia,AUS,2010,0
Bahamas,BHS,2010,1
Bahrain,BHR,2010,10
Bangladesh,BGD,2010,87
Barbados,BRB,2010,4
Belgium,BEL,2010,0
Belize,BLZ,2010,29
Benin,BEN,2010,83
Bermuda,BMU,2010,0
Bosnia and Herzegovina,BIH,2010,40
Brazil,BRA,2010,9
British Virgin Islands,VGB,2010,0
Brunei,BRN,2010,1
Bulgaria,BGR,2010,31
Cambodia,KHM,2010,87
Cameroon,CMR,2010,81
Canada,CAN,2010,0
Cape Verde,CPV,2010,74
Cayman Islands,CYM,2010,0
Channel Islands,OWID_CIS,2010,0
Chile,CHL,2010,7
China,CHN,2010,74
Christmas Island,CXR,2010,0
Cocos Islands,CCK,2010,0
Colombia,COL,2010,21
Comoros,COM,2010,83
Congo,COG,2010,77
Cook Islands,COK,2010,36
Costa Rica,CRI,2010,16
Cote d'Ivoire,CIV,2010,82
Croatia,HRV,2010,9
Cuba,CUB,2010,23
Curacao,CUW,2010,0
Cyprus,CYP,2010,0
Democratic Republic of Congo,COD,2010,85
Denmark,DNK,2010,0
Djibouti,DJI,2010,73
Dominica,DMA,2010,19
Dominican Republic,DOM,2010,25
Ecuador,ECU,2010,30
Egypt,EGY,2010,67
El Salvador,SLV,2010,33
Equatorial Guinea,GNQ,2010,30
Eritrea,ERI,2010,77
Estonia,EST,2010,9
Faeroe Islands,FRO,2010,0
Falkland Islands,FLK,2010,0
Fiji,FJI,2010,78
Finland,FIN,2010,0
France,FRA,2010,0
French Guiana,GUF,2010,25
French Polynesia,PYF,2010,3
Gabon,GAB,2010,34
Gambia,GMB,2010,84
Georgia,GEO,2010,51
Germany,DEU,2010,0
Ghana,GHA,2010,81
Gibraltar,GIB,2010,0
Greece,GRC,2010,0
Greenland,GRL,2010,0
Grenada,GRD,2010,18
Guadeloupe,GLP,2010,25
Guam,GUM,2010,0
Guatemala,GTM,2010,36
Guernsey,GGY,2010,0
Guinea,GIN,2010,84
Guinea-Bissau,GNB,2010,83
Guyana,GUY,2010,36
Haiti,HTI,2010,47
Honduras,HND,2010,40
Hong Kong,HKG,2010,1
Iceland,ISL,2010,0
India,IND,2010,85
Indonesia,IDN,2010,81
Iran,IRN,2010,50
Iraq,IRQ,2010,63
Ireland,IRL,2010,0
Israel,ISR,2010,1
Italy,ITA,2010,0
Jamaica,JAM,2010,27
Japan,JPN,2010,0
Jordan,JOR,2010,58
Kenya,KEN,2010,83
Kiribati,KIR,2010,84
Kuwait,KWT,2010,0
Latvia,LVA,2010,14
Lebanon,LBN,2010,34
Liberia,LBR,2010,84
Libya,LBY,2010,23
