Entity,Code,Year,Mismanaged waste in 2025 (% global total) (% of global total)
Albania,ALB,2010,0.0913
Algeria,DZA,2010,1.4729
Angola,AGO,2010,0.198
Anguilla,AIA,2010,0.0001
Antigua and Barbuda,ATG,2010,0.002
Argentina,ARG,2010,0.4635
Aruba,ABW,2010,0.0007
Australia,AUS,2010,0.0357
Bahamas,BHS,2010,0.0025
Bahrain,BHR,2010,0.0144
Bangladesh,BGD,2010,3.1996
Barbados,BRB,2010,0.0054
Belgium,BEL,2010,0.0083
Belize,BLZ,2010,0.0087
Benin,BEN,2010,0.1729
Bermuda,BMU,2010,0.0003
Bosnia and Herzegovina,BIH,2010,0.0292
Brazil,BRA,2010,1.3813
British Virgin Islands,VGB,2010,0.0001
Brunei,BRN,2010,0.0005
Bulgaria,BGR,2010,0.0373
Cambodia,KHM,2010,0.091
Cameroon,CMR,2010,0.104
Canada,CAN,2010,0.0212
Cape Verde,CPV,2010,0.0267
Cayman Islands,CYM,2010,0.0002
Channel Islands,OWID_CIS,2010,0.0005
Chile,CHL,2010,0.0616
China,CHN,2010,25.7893
Christmas Island,CXR,2010,0
Cocos Islands,CCK,2010,0
Colombia,COL,2010,0.2605
Comoros,COM,2010,0.146
Congo,COG,2010,0.0577
Cook Islands,COK,2010,0.0011
Costa Rica,CRI,2010,0.1099
Cote d'Ivoire,CIV,2010,0.7776
Croatia,HRV,2010,0.0284
Cuba,CUB,2010,0.2612
Curacao,CUW,2010,0.0005
Cyprus,CYP,2010,0.0038
Democratic Republic of Congo,COD,2010,0.0629
Denmark,DNK,2010,0.0061
Djibouti,DJI,2010,0.066
Dominica,DMA,2010,0.0021
Dominican Republic,DOM,2010,0.331
Ecuador,ECU,2010,0.3055
Egypt,EGY,2010,2.8047
El Salvador,SLV,2010,0.3284
Equatorial Guinea,GNQ,2010,0.0204
Eritrea,ERI,2010,0.0629
Estonia,EST,2010,0.0121
Faeroe Islands,FRO,2010,0.0002
Falkland Islands,FLK,2010,0
Fiji,FJI,2010,0.1028
Finland,FIN,2010,0.0093
France,FRA,2010,0.0502
French Guiana,GUF,2010,0.0081
French Polynesia,PYF,2010,0.0026
Gabon,GAB,2010,0.0224
Gambia,GMB,2010,0.0774
Georgia,GEO,2010,0.0355
Germany,DEU,2010,0.0482
Ghana,GHA,2010,0.4706
Gibraltar,GIB,2010,0.0001
Greece,GRC,2010,0.027
Greenland,GRL,2010,0.0002
Grenada,GRD,2010,0.0035
Guadeloupe,GLP,2010,0.0167
Guam,GUM,2010,0.0008
Guatemala,GTM,2010,0.2283
Guernsey,GGY,2010,0.0002
Guinea,GIN,2010,0.0867
Guinea-Bissau,GNB,2010,0.0752
Guyana,GUY,2010,0.0523
Haiti,HTI,2010,0.4693
Honduras,HND,2010,0.2738
Hong Kong,HKG,2010,0.0544
Iceland,ISL,2010,0.0013
India,IND,2010,4.1711
Indonesia,IDN,2010,10.7345
Iran,IRN,2010,0.666
Iraq,IRQ,2010,0.069
Ireland,IRL,2010,0.0203
Israel,ISR,2010,0.0408
Italy,ITA,2010,0.0652
Jamaica,JAM,2010,0.0862
Japan,JPN,2010,0.2566
Jordan,JOR,2010,0.0043
Kenya,KEN,2010,0.1261
Kiribati,KIR,2010,0.0101
Kuwait,KWT,2010,0.0195
Latvia,LVA,2010,0.0241
Lebanon,LBN,2010,0.1474
Liberia,LBR,2010,0.2067
Libya,LBY,2010,0.1485
Lithuania,LTU,2010,0.0079
Macao,MAC,2010,0.0017
Madagascar,MDG,2010,0.2571
Malaysia,MYS,2010,2.5565
Maldives,MDV,2010,0.0581
Malta,MLT,2010,0.0054
Marshall Islands,MHL,2010,0.0083
Martinique,MTQ,2010,0.0014
Mauritania,MRT,2010,0.0575
Mauritius,MUS,2010,0.1059
Mexico,MEX,2010,0.3379
Micronesia (country),FSM,2010,0.0155
Monaco,MCO,2010,0.0001
Montenegro,MNE,2010,0.0105
Montserrat,MSR,2010,0.0001
Morocco,MAR,2010,1.0229
Mozambique,MOZ,2010,0.4156
Myanmar,MMR,2010,1.6637
Namibia,NAM,2010,0.0164
Nauru,NRU,2010,0.0015
Netherlands,NLD,2010,0.0469
Netherlands Antilles,ANT,2010,0.0005
New Caledonia,NCL,2010,0.001
New Zealand,NZL,2010,0.0167
Nicaragua,NIC,2010,0.2453
Nigeria,NGA,2010,3.5916
Niue,NIU,2010,0
Norfolk Island,NFK,2010,0.0002
North Korea,PRK,2010,0.8839
Northern Mariana Islands,MNP,2010,0.0004
Norway,NOR,2010,0.0142
Oman,OMN,2010,0.017
Pakistan,PAK,2010,1.7682
Palau,PLW,2010,0.002
Palestine,PSE,2010,0.027
Panama,PAN,2010,0.1024
Papua New Guinea,PNG,2010,0.3508
Peru,PER,2010,0.5459
Philippines,PHL,2010,7.3661
Poland,POL,2010,0.0389
Portugal,PRT,2010,0.0281
Puerto Rico,PRI,2010,0.0296
Qatar,QAT,2010,0.0023
Reunion,REU,2010,0.0023
Romania,ROU,2010,0.012
Russia,RUS,2010,0.1867
Saint Helena,SHN,2010,0.0003
Saint Kitts and Nevis,KNA,2010,0.0011
Saint Lucia,LCA,2010,0.0125
Saint Pierre and Miquelon,SPM,2010,0
Saint Vincent and the Grenadines,VCT,2010,0.0043
Samoa,WSM,2010,0.0159
Sao Tome and Principe,STP,2010,0.0193
Saudi Arabia,SAU,2010,0.0635
Senegal,SEN,2010,1.0687
Seychelles,SYC,2010,0.0079
Sierra Leone,SLE,2010,0.1756
Singapore,SGP,2010,0.0157
Sint Maarten (Dutch part),SXM,2010,0.0001
Slovenia,SVN,2010,0.0014
Solomon Islands,SLB,2010,0.2556
Somalia,SOM,2010,0.4192
South Africa,ZAF,2010,1.2106
South Korea,KOR,2010,0.0764
Spain,ESP,2010,0.0853
Sri Lanka,LKA,2010,2.7775
Sudan,SDN,2010,0.0754
Suriname,SUR,2010,0.0093
Sweden,SWE,2010,0.0076
Syria,SYR,2010,0.4415
Taiwan,TWN,2010,0.0936
Tanzania,TZA,2010,0.3101
Thailand,THA,2010,3.1551
Togo,TGO,2010,0.1404
Tokelau,TKL,2010,0.0001
Tonga,TON,2010,0.0149
Trinidad and Tobago,TTO,2010,0.1064
Tunisia,TUN,2010,0.638
Turkey,TUR,2010,1.144
Turks and Caicos Islands,TCA,2010,0.0001
Tuvalu,TUV,2010,0.0012
Ukraine,UKR,2010,0.3379
United Arab Emirates,ARE,2010,0.0086
United Kingdom,GBR,2010,0.1363
United States,USA,2010,0.4876
Uruguay,URY,2010,0.0116
Vanuatu,VUT,2010,0.055
Venezuela,VEN,2010,0.2233
Vietnam,VNM,2010,6.0407
Yemen,YEM,2010,0.744
