时间,相位1,相位2,相位3
0:00:00,96,5,15
0:32:41,69,5,10
1:02:41,49,4,7
1:32:41,37,3,6
2:02:41,36,2,6
2:32:41,29,3,5
3:02:41,26,2,5
3:32:41,22,2,5
4:02:41,21,2,4
4:32:41,28,3,7
5:02:41,63,10,13
5:32:41,92,14,21
6:02:41,210,34,59
6:32:41,575,72,170
7:02:41,961,111,307
7:32:41,1443,129,484
8:02:41,1396,129,465
8:32:41,1215,125,373
9:02:41,939,94,270
9:32:41,759,76,207
10:02:41,700,65,174
10:32:41,647,65,150
11:02:41,637,63,152
11:32:41,645,64,149
12:02:41,586,59,152
12:32:41,593,58,136
13:02:41,655,67,144
13:32:41,697,67,158
14:02:41,704,69,186
14:32:41,698,71,162
15:02:41,693,68,169
15:32:41,740,78,188
16:02:41,783,97,205
16:32:41,891,156,252
17:02:41,1007,169,314
17:32:41,1036,179,328
18:02:41,984,158,302
18:32:41,831,112,246
19:02:41,725,86,197
19:32:41,636,72,167
20:02:41,642,67,139
20:32:41,600,60,150
21:02:41,658,60,142
21:32:41,532,41,99
22:02:41,369,26,72
22:32:41,270,18,46
23:02:41,187,13,32
23:32:41,138,10,24
