时间,相位1,相位2,相位3
0:03:30,44,5,6
0:18:31,35,1,6
0:33:30,30,3,3
0:48:30,32,3,2
1:03:30,30,1,1
1:18:30,30,2,3
1:33:30,14,2,2
1:48:31,8,0,1
2:03:30,19,1,0
2:18:30,14,1,4
2:33:30,17,2,2
2:48:30,17,2,5
3:03:30,10,0,3
3:18:31,12,0,1
3:33:31,11,0,4
3:48:30,18,1,4
4:03:30,15,0,1
4:18:30,7,1,1
4:33:30,16,1,1
4:48:30,21,0,2
5:03:31,40,4,8
5:18:31,18,3,13
5:33:31,32,9,11
5:48:30,68,6,15
6:03:30,70,17,27
6:18:30,132,10,37
6:33:31,245,39,99
6:48:30,286,42,75
7:03:31,415,54,123
7:18:31,526,65,192
7:33:30,717,63,230
7:48:31,742,60,244
8:03:31,703,74,259
8:18:31,726,69,215
8:33:31,576,64,219
8:48:30,611,67,182
9:03:31,522,42,131
9:18:31,420,44,125
9:33:30,367,34,92
9:48:30,362,32,76
10:03:31,354,43,74
10:18:30,321,30,72
10:33:31,286,32,82
10:48:30,308,38,76
11:03:31,286,24,67
11:18:30,293,33,62
11:33:31,321,32,69
11:48:30,289,23,67
12:03:31,265,29,66
12:18:30,293,30,55
12:33:31,291,19,72
12:48:30,296,27,64
13:03:31,291,27,68
13:18:31,383,27,70
13:33:30,365,36,73
13:48:31,361,25,86
14:03:30,359,35,95
14:18:30,371,35,89
14:33:31,361,38,81
14:48:31,361,27,58
15:03:30,338,32,99
15:18:31,385,45,70
15:33:30,311,31,100
15:48:31,331,30,107
16:03:30,354,47,92
16:18:31,400,47,90
16:33:31,383,59,121
16:48:31,482,87,104
17:03:31,514,103,136
17:18:31,532,84,129
17:33:31,517,109,172
17:48:31,461,81,159
18:03:31,502,75,156
18:18:31,501,82,127
18:33:31,434,81,129
18:48:31,390,35,84
19:03:31,332,36,107
19:18:30,302,38,85
19:33:31,311,33,84
19:48:31,287,33,65
20:03:31,290,24,74
20:18:31,331,35,51
20:33:31,302,36,71
20:48:31,281,30,70
21:03:31,293,34,75
21:18:31,324,35,60
21:33:31,281,25,52
21:48:31,198,17,32
22:03:31,152,13,46
22:18:31,129,5,29
22:33:31,118,14,24
22:48:31,122,6,14
23:03:31,74,8,20
23:18:30,80,5,14
23:33:31,84,7,6
23:48:31,58,4,8
