时间,相位1,相位2,相位3
0:02:41,53,3,8
0:17:41,43,2,7
0:32:41,37,3,6
0:47:41,32,2,4
1:02:41,26,3,4
1:17:41,23,1,3
1:32:41,20,2,3
1:47:41,17,1,3
2:02:42,19,1,3
2:17:41,17,1,3
2:32:41,16,2,2
2:47:41,13,1,3
3:02:41,14,1,3
3:17:41,12,1,2
3:32:41,11,1,2
3:47:42,11,1,3
4:02:41,10,1,2
4:17:42,11,1,2
4:32:42,12,1,2
4:47:42,16,2,5
5:02:42,30,6,5
5:17:41,33,4,8
5:32:41,39,5,9
5:47:41,53,9,12
6:02:41,78,15,20
6:17:42,132,19,39
6:32:41,254,28,83
6:47:41,321,44,87
7:02:41,393,52,117
7:17:41,568,59,190
7:32:41,715,63,238
7:47:41,728,66,246
8:02:41,711,62,244
8:17:42,685,67,221
8:32:42,626,66,190
8:47:41,589,59,183
9:02:41,500,50,145
9:17:41,439,44,125
9:32:41,397,41,112
9:47:42,362,35,95
10:02:41,353,34,91
10:17:42,347,31,83
10:32:41,321,32,77
10:47:42,326,33,73
11:02:42,310,33,78
11:17:41,327,30,74
11:32:42,314,31,76
11:47:41,331,33,73
12:02:41,288,30,78
12:17:42,298,29,74
12:32:41,289,29,68
12:47:42,304,29,68
13:02:41,313,33,72
13:17:41,342,34,72
13:32:42,347,33,76
13:47:41,350,34,82
14:02:41,344,36,98
14:17:42,360,33,88
14:32:41,347,35,80
14:47:41,351,36,82
15:02:42,335,32,83
15:17:41,358,36,86
15:32:42,361,37,92
15:47:42,379,41,96
16:02:41,377,48,106
16:17:42,406,49,99
16:32:42,422,69,120
16:47:42,469,87,132
17:02:42,493,85,158
17:17:42,514,84,156
17:30:55,528,92,164
17:45:55,508,87,164
18:00:55,494,82,157
18:15:56,490,76,145
18:30:55,443,64,138
18:45:56,388,48,108
19:00:56,375,45,103
19:15:55,350,41,94
19:30:56,335,38,98
19:45:55,301,34,69
20:00:56,329,35,75
20:15:55,313,32,64
20:30:56,306,30,80
20:45:55,294,30,70
21:00:56,328,30,75
21:15:55,330,30,67
21:30:56,301,23,55
21:45:56,231,18,44
22:00:55,193,15,43
22:15:56,176,11,29
22:30:56,146,11,25
22:45:56,124,7,21
23:00:55,96,7,17
23:15:55,91,6,15
23:30:56,75,5,14
23:45:56,63,5,10
