时间,相位1,相位2,相位3
0:03:35,19 ,1 ,3 
0:18:34,16 ,1 ,3 
0:33:34,13 ,1 ,2 
0:48:34,13 ,1 ,2 
1:03:34,10 ,1 ,1 
1:18:34,10 ,1 ,2 
1:33:34,8 ,0 ,1 
1:48:34,7 ,0 ,2 
2:03:34,8 ,0 ,1 
2:18:34,6 ,0 ,1 
2:33:35,6 ,0 ,1 
2:48:34,5 ,0 ,1 
3:03:34,4 ,0 ,1 
3:18:34,4 ,0 ,1 
3:33:34,5 ,0 ,1 
3:48:35,4 ,0 ,1 
4:03:35,3 ,0 ,1 
4:18:34,3 ,0 ,1 
4:33:34,4 ,0 ,1 
4:48:34,5 ,0 ,2 
5:03:34,8 ,0 ,2 
5:18:34,9 ,0 ,1 
5:33:34,12 ,1 ,2 
5:48:35,14 ,1 ,2 
6:03:34,17 ,1 ,4 
6:18:34,27 ,1 ,7 
6:33:34,38 ,2 ,11 
6:48:35,49 ,2 ,12 
7:03:34,49 ,2 ,15 
7:18:34,60 ,3 ,20 
7:33:35,84 ,4 ,23 
7:48:34,91 ,5 ,23 
8:03:34,97 ,5 ,24 
8:18:35,101 ,5 ,25 
8:33:34,103 ,5 ,31 
8:48:35,112 ,6 ,34 
9:03:34,110 ,5 ,31 
9:18:34,106 ,5 ,30 
9:33:35,105 ,5 ,29 
9:48:34,108 ,5 ,28 
10:03:34,103 ,5 ,30 
10:18:35,108 ,5 ,28 
10:33:35,105 ,5 ,30 
10:48:35,104 ,5 ,27 
11:03:34,109 ,5 ,27 
11:18:35,109 ,5 ,28 
11:33:34,107 ,5 ,26 
11:48:34,109 ,5 ,31 
12:03:35,109 ,5 ,25 
12:18:35,105 ,5 ,24 
12:33:34,94 ,5 ,27 
12:48:35,97 ,5 ,25 
13:03:34,101 ,5 ,22 
13:18:35,100 ,5 ,26 
13:33:34,108 ,5 ,28 
13:48:34,107 ,5 ,30 
14:03:35,106 ,5 ,30 
14:18:35,108 ,5 ,30 
14:33:34,105 ,5 ,31 
14:48:35,107 ,5 ,30 
15:03:35,109 ,5 ,29 
15:18:35,118 ,6 ,30 
15:33:34,111 ,6 ,32 
15:48:34,114 ,6 ,31 
16:03:35,112 ,6 ,31 
16:18:35,121 ,6 ,33 
16:33:35,120 ,6 ,36 
16:48:34,125 ,6 ,42 
17:03:34,140 ,7 ,41 
17:18:34,143 ,7 ,41 
17:33:34,132 ,7 ,39 
17:48:34,129 ,6 ,38 
18:03:35,122 ,6 ,35 
18:18:35,112 ,6 ,35 
18:33:35,100 ,5 ,29 
18:48:35,88 ,4 ,25 
19:03:34,89 ,4 ,19 
19:18:35,80 ,4 ,20 
19:33:35,81 ,4 ,21 
19:48:35,74 ,4 ,17 
20:03:35,82 ,4 ,19 
20:18:34,81 ,4 ,17 
20:33:35,78 ,4 ,17 
20:48:35,78 ,4 ,17 
21:03:35,85 ,4 ,18 
21:18:35,78 ,4 ,17 
21:33:35,79 ,4 ,15 
21:48:35,59 ,3 ,11 
22:03:35,54 ,3 ,11 
22:18:35,47 ,2 ,8 
22:33:35,44 ,2 ,7 
22:48:35,40 ,2 ,4 
23:03:35,30 ,1 ,4 
23:18:35,26 ,1 ,4 
23:33:35,23 ,1 ,4 
23:48:35,18 ,1 ,3 
